Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”
Jam e s,City,City,City,,"60,221",,,,__,,_-,"14,048","14,048","6,708","3 9 ,465",_-,__,--
K i n g,an d,Q u e e n,Q u e e n,,"152,722",,,,-_,,__,"58,740","58,740","33,511","4 5 , 9 52","14,519",- -,--
K i n g,Ge orge,Ge orge,Ge orge,,"70,130",,,,--,,,"5,89 0","5,89 0","2,59 6","61,421",223,--,-_
K i n g,W illiam,W illiam,W illiam,,"111,822",,,,__,,__,"49 ,849","49 ,849","10,39 1","43,9 9 6","7,586",,--
Lan cas te r,Lan cas te r,Lan cas te r,,,"52,501",,,,,,,"13,9 9 9","13,9 9 9","7,000","31,041",461,,
M ath e w s,M ath e w s,,,,"34,787",,,,--,,--,"2 0 , 9 47","2 0 , 9 47","5,545","5,530","2,765",,__
Middlesex,Middlesex,Middlesex,,,"4 9 ,882",,,,_-,,_-,"13,788","13,788","18,030","18,029",35,--,
Ne w,K e n t,,,,"9 8,183",,,,_-,,--,"31,040","31,040","20,29 0","42,045","4,808",,_-
Ne w port Ne w s,Ne w port Ne w s,Ne w port Ne w s,Ne w port Ne w s,,"7 , 9 34",,,,--,,,"2,228","2,228","1,117","4,589",- -,,--
North am pton,North am pton,North am pton,North am pton,,"30,351",,,,_-,,,"12,502","12,502","7,712","7,626","2,511",--,
North u m b e r lan d,North u m b e r lan d,North u m b e r lan d,North u m b e r lan d,,"67,886",,,,-_,,--,"15,467","15,467","5,39 1","41,428","5,600",__,
Prince,Ge orge,Ge orge,Ge orge,,"117,29 1",,,,-_,,__,"47,649","47,649","17,852","44,139","5,101","2,550",
R i ch m ond,R i ch m ond,,,,"76,279",,,,,,--,"23,112","23,112","2,885","44,512","2,885","2,885",
Sou th am pton,Sou th am pton,Sou th am pton,Sou th am pton,,"240,49 2",,--,--,,,--,"107,723","107,723","34,024","43,69 0","47,239","7,816",--
Su ffolk,Su ffolk,,,,"111,147",,--,--,-_,,__,"43,585","43,585","14,576","33,365","15,302","4,319",-_
Surry,,,,,"122,880",,--,--,_-,,_-,44) 554,44) 554,"13,516","52,078","12,732",- -,_-
Su s s e x,,,,,"250,649",,--,--,-_,,-_,"133,425","133,425","40,850","43,622","30,045","2,707",--
Vi r g i n i a,Vi r g i n i a,B e ach,B e ach,,"36,581",,__,__,-,,,"11,29 2","11,29 2","5,632","8,766","10,89 1",- -,--
W e stm ore lan d,W e stm ore lan d,W e stm ore lan d,W e stm ore lan d,,"74,248",,-,-,--,,--,"23,874","23,874","7,662","42,712",_-,,--
York,,,,,"28,849",,__,__,_-,,--,"7,086","7,086","5,524","1 5 , 9 34",305,_-,--
Total,Total,,,,"3,702,266",,-_,-_,__,,_-,"1,332,29 2","1,332,29 2","623,638","1,380,372","305,075","60,889",_-
