County,Year,Pine (MBF),Pine (cords),Hardwood (MBF),Hardwood (cords),Value: Pine,Value: Hardwood,Total Value
GRAYSON,2009,"7,140.46",805.10,"15,881.83","1,008.80","$948,281.24","$2,377,489.44","$3,325,770.68"
SURRY,2009,"6,051.67","73,494.85","3,475.29","22,194.84","$2,566,124.00","$729,340.42","$3,295,464.42"
SUFFOLK,2009,"10,483.40","63,156.03",352.72,"15,065.96","$3,087,420.30","$202,156.92","$3,289,577.23"
GREENSVILLE,2009,"9,428.96","63,661.63","1,396.52","13,598.67","$2,911,955.51","$339,879.23","$3,251,834.74"
NELSON,2009,"5,793.56","28,515.58","8,017.84","16,563.56","$1,473,202.91","$1,527,942.83","$3,001,145.74"
PRINCE EDWARD,2009,"5,708.47","23,558.85","7,840.84","12,559.20","$1,414,525.26","$1,566,497.71","$2,981,022.98"
ALBEMARLE,2009,"10,344.01","12,279.00","5,575.93","7,231.56","$1,780,363.62","$1,011,773.41","$2,792,137.03"
ROCKBRIDGE,2009,66.01,"2,899.45","16,673.45","10,159.73","$61,167.46","$2,519,247.22","$2,580,414.68"
FRANKLIN,2009,"3,250.99","11,176.70","11,128.24","20,641.69","$604,707.32","$1,879,073.71","$2,483,781.03"
STAFFORD,2009,"4,171.98","5,165.78","9,209.20","9,903.91","$722,756.50","$1,613,398.02","$2,336,154.52"
PATRICK,2009,"1,584.64","5,756.35","10,335.50","25,544.27","$299,689.82","$1,820,976.00","$2,120,665.81"
ISLE OF WIGHT,2009,"7,392.77","34,196.25",337.64,"6,541.07","$1,967,059.36","$114,706.65","$2,081,766.02"
ORANGE,2009,"5,884.03","14,316.35","5,918.48","3,061.69","$1,174,028.66","$897,441.71","$2,071,470.37"
HENRY,2009,"5,940.41","16,587.05","5,124.41","17,538.58","$1,043,586.12","$956,460.82","$2,000,046.94"
FLUVANNA,2009,"5,267.85","26,216.75","2,930.13","8,128.89","$1,345,874.94","$596,614.45","$1,942,489.39"
PRINCE GEORGE,2009,"2,593.68","62,425.05",693.23,"7,330.40","$1,749,257.32","$174,515.24","$1,923,772.56"
POWHATAN,2009,"3,316.66","20,165.13","5,850.40","2,733.96","$927,864.87","$988,773.50","$1,916,638.37"
CARROLL,2009,"4,903.05","3,892.33","7,601.64","2,717.07","$704,576.65","$1,162,531.43","$1,867,108.08"
CHESTERFIELD,2009,"2,227.94","31,004.00","4,522.46","11,610.67","$1,005,326.71","$690,459.54","$1,695,786.25"
ALLEGHANY,2009,"1,176.89","7,717.23","6,832.51","23,004.36","$298,966.72","$1,282,937.63","$1,581,904.36"
HANOVER,2009,"4,535.73","8,902.95","3,384.16","8,939.11","$908,142.64","$473,935.30","$1,382,077.94"
ESSEX,2009,"1,378.13","29,758.73","2,919.75","13,524.98","$844,055.23","$506,058.62","$1,350,113.85"
SPOTSYLVANIA,2009,"2,265.19","12,352.80","4,774.14","8,263.29","$602,479.35","$740,898.99","$1,343,378.34"
KING WILLIAM,2009,"2,807.52","23,959.93",933.55,"10,414.31","$949,553.90","$222,704.57","$1,172,258.47"
SCOTT,2009,0.00,0.00,"7,417.43","3,647.91",$0.00,"$1,145,323.96","$1,145,323.96"
GILES,2009,310.25,143.15,"7,055.00","1,504.53","$42,932.77","$1,067,744.30","$1,110,677.06"
KING GEORGE,2009,266.52,"15,144.08","5,727.83","1,677.42","$360,402.90","$655,337.88","$1,015,740.78"
CHARLES CITY,2009,"2,485.29","15,343.60","1,812.62","7,571.91","$696,014.12","$275,939.66","$971,953.78"
ACCOMACK,2009,"5,670.66",496.43,0.00,0.00,"$909,788.19",$0.00,"$909,788.19"
GOOCHLAND,2009,"2,318.56","10,912.45","1,527.32","1,957.87","$578,583.89","$276,793.71","$855,377.60"
MONTGOMERY,2009,"1,093.63",375.53,"3,962.79","8,782.13","$149,273.57","$687,059.28","$836,332.85"
BOTETOURT,2009,0.00,"6,370.18","3,527.06","17,927.91","$101,922.80","$722,739.50","$824,662.30"
ROCKINGHAM,2009,52.08,559.60,"5,281.68","2,350.13","$17,156.16","$791,113.14","$808,269.30"
RICHMOND,2009,354.41,"19,179.13","1,544.90","10,119.82","$459,112.35","$291,169.19","$750,281.54"
LEE,2009,0.00,249.25,"4,765.76","2,826.22","$3,988.00","$741,185.97","$745,173.97"
LOUDOUN,2009,0.15,0.00,"5,001.07",188.98,$20.33,"$727,612.35","$727,632.68"
FAUQUIER,2009,37.69,"12,910.00","2,827.24","2,234.93","$237,505.23","$439,004.30","$676,509.53"
FLOYD,2009,"1,289.29","1,516.38","2,861.90","2,381.69","$193,158.77","$452,621.12","$645,779.89"
TAZEWELL,2009,151.75,24.50,"3,461.85","8,832.44","$20,271.78","$612,971.81","$633,243.59"
WESTMORELAND,2009,350.36,"13,364.83","1,687.50","5,519.47","$336,368.42","$269,507.57","$605,875.99"
GLOUCESTER,2009,236.64,"16,194.80",927.78,"5,564.00","$377,715.85","$173,467.96","$551,183.81"
NORTHAMPTON,2009,"3,423.78",10.33,32.76,45.07,"$547,856.56","$2,224.00","$550,080.56"
DICKENSON,2009,0.00,296.08,"1,920.37","22,415.11","$4,737.20","$532,701.05","$537,438.25"
NEW KENT,2009,"1,417.50","8,897.68",901.56,"4,235.11","$382,742.09","$93,994.96","$476,737.05"
CULPEPER,2009,"1,144.65","8,502.50",129.21,"3,144.00","$354,174.31","$68,092.07","$422,266.38"
LANCASTER,2009,0.00,"16,040.30",264.91,"3,288.80","$336,846.30","$66,531.80","$403,378.10"
FREDERICK,2009,0.00,"11,113.78",541.68,"8,387.47","$200,047.95","$187,580.89","$387,628.84"
SMYTH,2009,0.00,121.03,"2,533.66",213.60,"$1,936.40","$379,864.50","$381,800.90"
MADISON,2009,514.50,"1,185.10","1,434.14","1,694.40","$101,189.00","$257,747.10","$358,936.10"
BATH,2009,0.00,"2,772.23",475.19,"17,949.42","$49,900.05","$301,769.17","$351,669.22"
RUSSELL,2009,0.00,0.00,"1,592.13","9,412.71",$0.00,"$340,767.01","$340,767.01"
SHENANDOAH,2009,10.41,"2,535.35","1,747.71","3,563.11","$45,636.30","$293,670.71","$339,307.01"
JAMES CITY,2009,292.68,"2,995.80",999.18,"4,937.96","$109,447.14","$176,275.70","$285,722.83"
AUGUSTA,2009,18.71,"1,908.73",998.52,"7,736.00","$36,901.68","$245,353.08","$282,254.75"
WASHINGTON,2009,0.00,0.00,"1,539.18",902.22,$0.00,"$239,261.83","$239,261.83"
RAPPAHANNOCK,2009,105.10,326.25,"1,445.34",456.00,"$20,165.90","$214,056.39","$234,222.29"
BLAND,2009,192.31,731.28,"1,140.25","2,280.36","$36,893.61","$194,981.23","$231,874.83"
PULASKI,2009,501.54,298.38,882.60,0.00,"$70,475.49","$131,506.87","$201,982.37"
HENRICO,2009,"1,006.92","1,219.65",23.15,"1,081.69","$185,712.49","$13,653.54","$199,366.03"
BUCHANAN,2009,10.15,11.00,981.40,"3,485.42","$1,506.24","$184,567.55","$186,073.79"
NORTHUMBERLAND,2009,0.00,"2,641.55",949.96,657.69,"$55,472.55","$127,222.02","$182,694.57"
CHESAPEAKE,2009,26.59,"2,112.10",89.19,"11,804.98","$48,847.47","$131,071.50","$179,918.97"
WYTHE,2009,430.02,159.60,776.69,412.89,"$58,886.17","$120,269.05","$179,155.21"
HIGHLAND,2009,0.00,631.18,183.59,"10,622.40","$11,361.15","$164,712.21","$176,073.36"
CRAIG,2009,41.52,"2,862.68",225.35,"6,251.29","$51,241.27","$102,341.54","$153,582.80"
ROANOKE,2009,106.27,982.55,516.43,"3,998.58","$29,642.37","$120,932.78","$150,575.15"
MARTINSVILLE,2009,0.00,"6,680.05",0.00,"3,322.13","$106,880.80","$36,543.47","$143,424.27"
PRINCE WILLIAM,2009,326.80,11.75,0.00,"4,888.27","$47,970.65","$73,324.00","$121,294.65"
MATHEWS,2009,466.33,"1,123.95",0.00,"1,077.78","$97,748.64","$10,777.78","$108,526.42"
MIDDLESEX,2009,30.64,"2,500.88",94.91,"2,593.96","$57,389.50","$37,993.68","$95,383.18"
CLARKE,2009,0.00,2.73,439.61,17.78,$49.05,"$63,974.79","$64,023.84"
PAGE,2009,12.58,82.88,272.37,717.51,"$3,202.77","$48,821.89","$52,024.66"
NEWPORT NEWS,2009,64.08,"1,174.03",0.00,"1,122.40","$35,483.71","$11,224.00","$46,707.71"
FAIRFAX,2009,0.00,269.25,0.00,"2,590.67","$5,923.50","$38,860.00","$44,783.50"
WARREN,2009,0.00,202.25,186.35,673.69,"$3,640.50","$35,592.81","$39,233.31"
HARRISONBURG,2009,230.12,0.00,0.00,0.00,"$31,295.65",$0.00,"$31,295.65"
GREENE,2009,74.35,35.93,100.03,8.27,"$11,645.09","$16,328.14","$27,973.23"
RICHMOND CITY,2009,0.00,0.00,0.00,"1,934.67",$0.00,"$19,346.67","$19,346.67"
VIRGINIA BEACH,2009,0.00,547.23,25.30,385.16,"$11,491.73","$7,545.40","$19,037.12"
YORK,2009,5.34,83.10,0.00,134.76,"$2,593.52","$1,347.56","$3,941.08"
RADFORD,2009,0.00,219.90,0.00,0.00,"$3,518.40",$0.00,"$3,518.40"
WINCHESTER,2009,0.00,0.00,19.22,0.00,$0.00,"$2,786.61","$2,786.61"
DANVILLE,2009,0.00,0.00,0.00,178.40,$0.00,"$2,319.20","$2,319.20"
PORTSMOUTH,2009,0.00,51.15,5.11,0.00,"$1,074.15",$746.23,"$1,820.38"
STAUNTON,2009,0.00,0.00,6.03,0.00,$0.00,$868.49,$868.49
PETERSBURG,2009,0.00,0.00,0.00,8.62,$0.00,$86.22,$86.22
