County,Year,Pine (MBF),Pine (cords),Hardwood (MBF),Hardwood (cords),Value: Pine,Value: Hardwood,Total Value
GLOUCESTER,2007,4718,12848,1550,9859,"Â $1,127,587.85","Â $260,702.84","Â $1,388,290.69"
GOOCHLAND,2007,3683,14137,485,6476,"Â $840,090.37","Â $174,801.77","Â $1,014,892.15"
GRAYSON,2007,8090,499,9710,191,"Â $1,437,890.17","Â $1,982,286.76","Â $3,420,176.92"
GREENE,2007,0,28,480,437,Â $362.70,"Â $111,163.16","Â $111,525.86"
GREENSVILLE,2007,17646,74788,2211,34242,"Â $5,245,864.21","Â $881,411.64","Â $6,127,275.85"
HALIFAX,2007,12431,45452,10608,33487,"Â $2,875,168.20","Â $2,198,514.76","Â $5,073,682.96"
HAMPTON,2007,0,6,0,111,Â $92.80,Â $663.47,Â $756.27
HANOVER,2007,8148,14989,9483,14767,"Â $1,817,929.58","Â $1,345,075.04","Â $Â  3,163,004.62"
HARRISONBURG,2007,0,1,1176,0,Â $Â 10.35,"Â $293,892.15","Â $293,902.50"
HENRICO,2007,738,1439,1033,2879,"Â $166,124.35","Â $219,578.48","Â $385,702.83"
HENRY,2007,8719,17922,12038,16146,"Â $1,043,338.30","Â $2,516,913.25","Â $3,560,251.55"
HIGHLAND,2007,0,1405,511,8086,"Â $21,073.88","Â $229,809.89","Â $250,883.77"
ISLE OF WIGHT,2007,7731,30630,2282,22604,"Â $Â  2,166,820.53","Â $Â 658,697.31","Â $Â  2,825,517.85"
JAMES CITY,2007,1431,4517,588,7292,"Â $318,462.11","Â $137,478.90","Â $455,941.01"
KING & QUEEN,2007,8291,73964,8663,19705,"Â $Â 2,838,149.16","Â $1,720,825.17","Â $4,558,974.33"
KING GEORGE,2007,617,5077,2581,1700,"Â $197,426.57","Â $398,085.98","Â $595,512.55"
KING WILLIAM,2007,2985,44724,1168,13602,"Â $1,405,735.66","Â $284,056.72","Â $1,689,792.38"
LANCASTER,2007,0,7428,420,4144,"Â $118,848.00","Â $102,657.85","Â $221,505.85"
LEE,2007,5,0,9707,7572,Â $814.20,"Â $2,028,675.04","Â $2,029,489.24"
LOUDOUN,2007,0,0,835,972,-Â Â,"Â $234,600.61","Â $234,600.61"
LOUISA,2007,5137,46269,13112,23963,"Â $1,729,419.07","Â $2,637,754.51","Â $4,367,173.59"
LUNENBURG,2007,33812,52501,6356,33863,"Â $7,961,544.60","Â $1,610,250.74","Â $9,571,795.34"
MADISON,2007,5,249,5806,2352,"Â $5,098.85","Â $1,201,580.03","Â $1,206,678.88"
MARTINSVILLE,2007,0,1641,0,1474,"Â $19,688.70","Â $15,479.33","Â $35,168.03"
MATHEWS,2007,729,4665,0,4671,"Â $221,229.41","Â $28,026.67","Â $249,256.08"
MECKLENBURG,2007,14045,41874,19825,24588,"Â $3,718,087.68","Â $4,215,585.98","Â $7,933,673.67"
MIDDLESEX,2007,849,18716,261,6604,"Â $498,153.51","Â $76,219.52","Â $574,373.03"
MONTGOMERY,2007,3134,81,3737,2813,"Â $345,678.06","Â $766,994.08","Â $1,112,672.14"
NELSON,2007,1560,17508,10029,13067,"Â $467,335.65","Â $1,964,438.82","Â $2,431,774.47"
NEW KENT,2007,2921,13373,2695,10570,"Â $703,289.28","Â $521,697.15","Â $1,224,986.43"
NEWPORT NEWS,2007,482,3623,0,2227,"Â $154,872.86","Â $13,362.13","Â $168,235.00"
NORFOLK,2007,0,0,4,0,Â $Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â  -Â Â,Â $582.67,Â $582.67
NORTHAMPTON,2007,1167,1843,482,99,"Â $215,678.57","Â $19,692.84","Â $235,371.41"
NORTHUMBERLAND,2007,208,5070,1351,11415,"Â $133,252.62","Â $270,072.60","Â $403,325.22"
NOTTOWAY,2007,24016,37034,2236,24487,"Â $5,712,905.13","Â $676,557.34","Â $6,389,462.47"
ORANGE,2007,2436,9659,2426,13044,"Â $510,332.94","Â $649,294.13","Â $1,159,627.07"
PAGE,2007,0,315,1361,831,"Â $4,717.50","Â $378,387.55","Â $383,105.05"
PATRICK,2007,2660,14631,17171,40749,"Â $617,088.30","Â $3,927,540.11","Â $4,544,628.41"
PETERSBURG,2007,74,61,0,33,"Â $14,520.85",Â $460.44,"Â $14,981.30"
PITTSYLVANIA,2007,21905,99765,15411,72462,"Â $Â 5,400,257.95","Â $Â 3,566,515.94","Â $Â 8,966,773.90"
POQUOSON,2007,184,0,0,0,"Â $37,046.42",Â Â  -Â Â,"Â $37,046.42"
PORTSMOUTH,2007,0,18,0,94,Â $320.85,"Â $1,315.38","Â $1,636.23"
POWHATAN,2007,7899,24955,2689,13485,"Â $1,748,424.99","Â $713,147.13","Â $2,461,572.12"
PRINCE EDWARD,2007,8862,17517,3209,24558,"Â $1,591,986.33","Â $624,332.13","Â $2,216,318.46"
PRINCE GEORGE,2007,5789,54403,899,10722,"Â $Â  2,043,176.16","Â $Â Â Â Â Â Â Â Â Â Â Â Â Â  306,373.10","Â $Â  2,349,549.26"
PRINCE WILLIAM,2007,0,1992,4,2602,"Â $21,906.78","Â $13,999.48","Â $35,906.25"
PULASKI,2007,1097,3,1956,118,"Â $98,734.52","Â $372,651.69","Â $471,386.21"
RAPPAHANNOCK,2007,60,0,2183,144,"Â $11,333.60","Â $492,282.58","Â $503,616.18"
RICHMOND,2007,430,14291,2863,8166,"Â $294,407.97","Â $429,417.91","Â $723,825.88"
RICHMOND CITY,2007,5,1087,0,1003,"Â $20,500.03","Â $7,023.02","Â $27,523.05"
ROANOKE,2007,363,765,1571,4924,"Â $45,641.07","Â $402,723.87","Â $448,364.95"
ROCKBRIDGE,2007,187,5988,14768,22878,"Â $84,525.40","Â $3,769,250.14","Â $3,853,775.54"
ROCKINGHAM,2007,0,1021,2996,1585,"Â $9,189.45","Â $773,506.44","Â $782,695.89"
RUSSELL,2007,0,0,7863,12204,-Â Â,"Â $1,462,942.20","Â $1,462,942.20"
SCOTT,2007,0,9,19651,13273,$147.51,"$3,977,571.63","$3,977,719.14"
SHENANDOAH,2007,0,2773,4000,3306,"Â $41,649.63","Â $1,161,627.22","Â $1,203,276.85"
SMYTH,2007,5,195,1808,735,"Â $1,585.41","Â $336,690.67","Â $338,276.08"
SOUTHAMPTON,2007,28959,130402,8056,68032,"Â $7,808,421.93","Â $2,296,852.87","Â $10,105,274.80"
SPOTSYLVANIA,2007,7646,19227,4944,9824,"Â $1,493,002.34","Â $614,755.07","$2,107,757.41"
STAFFORD,2007,4251,3184,8543,9097,"Â $691,713.98","Â $1,345,085.66","Â $2,036,799.64"
SUFFOLK,2007,11540,35130,1315,28621,"Â $3,033,062.43","Â $597,878.81","Â $3,630,941.24"
SURRY,2007,3869,44969,6403,14296,"Â $1,488,906.15","Â $1,189,200.83","Â $2,678,106.98"
SUSSEX,2007,25575,183778,2060,27816,"Â $7,437,069.34","Â $754,010.77","Â $8,191,080.11"
TAZEWELL,2007,433,428,14626,20513,"Â $68,834.84","Â $2,767,324.83","Â $2,836,159.67"
VIRGINIA BEACH,2007,163,7402,53,2346,"Â $165,823.26","Â $40,821.98","Â $206,645.24"
WARREN,2007,21,1413,1450,3062,"Â $23,504.66","Â $414,167.38","Â $437,672.03"
WASHINGTON,2007,0,10,435,1223,Â $38.80,"Â $81,055.53","Â $81,094.33"
WESTMORELAND,2007,374,9198,3525,5184,"Â $214,460.99","Â $494,496.47","Â $708,957.46"
WISE,2007,0,0,43310,21472,Â  -Â Â,"Â $8,990,662.40","$8,990,662.40"
WYTHE,2007,2222,142,2731,1031,"$366,176.46","$579,122.45","$945,298.91"
YORK,2007,88,646,18,571,"$25,964.21","$4,752.29","$30,716.50"
