Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”
Louisa,,,"5,904",,"2,715",,,339,339,"2,850",,"14,446","14,446","5,933","5,933",,--,380,"8,133"
Lunenburg,Lunenburg,"13,523","13,523",,"2,347",,_-,"5,880","5,880","5,296",,"44,108","44,108","6,090","6,090",,_-,"19,337","18,681"
Madison,,,"3,690",,"2,067",,__,248,248,"1,375",,"11,012","11,012","7,392","7,392",,__,467,"3,153"
Mathews,,,"1,404",,678,,--,152,152,574,,"3,231","3,231","2,030","2,030",,__,404,797
Mecklenburg,Mecklenburg,,"8,406",,"4,524",166,166,534,534,"3,182",,"20,145","20,145","11,331","11,331",,__,590,"8,224"
Middlesex,Middlesex,,"3,454",,"1,564",,_-,"1,890","1,890",_-,,"9,417","9,417","2,537","2,537",,_-,"6,880",__
Montgomery,Montgomery,,"2,500",,_-,,__,__,__,"2,500",,"9,567","9,567",,__,,--,- -,"9,567"
Nelson,,,"3,794",,268,,-_,"1,296","1,296","2,230",,"13,057","13,057",,562,,__,"5,295","7,200"
New Kent,,,"8,980",,"6,463",,- -,"1,298","1,298","1,219",,"28,970","28,970","20,246","20,246",,__,"4,540","4,184"
Newport News,Newport News,,251,,_-,,_-,_-,_-,251,,,683,,__,,__,__,683
Northampton,Northampton,,"1,311",,962,,_-,178,178,171,,"4,309","4,309","3,757","3,757",,_-,552,__
Northumberland,Northumberland,,"4,786",,"1,156",,_-,961,961,"2,669",,"21,155","21,155","6,098","6,098",,__,"4,792","10,265"
Not toway,,"11,549","11,549",,"10,755",,_-,140,140,654,,"42,704","42,704","39,390","39,390",,__,- -,"3,314"
Orange,,,"4,445",,302,,__,534,534,"3,609",,"16,563","16,563",,596,,__,"2,216","13,751"
Page,,,- -,,__,,-_,__,__,__,,,__,,__,,__,_-,_-
Patrick,,,"4,390",,803,777,777,"1,942","1,942",868,,"12,643","12,643",,960,"3,295","3,295","5,298","3,090"
Pittsylvania,Pittsylvania,"12,810","12,810",,"7,392",,_-,"2,610","2,610","2,808",,"44,576","44,576","24,742","24,742",,- -,"9,047","10,787"
Powhatan,,,"4,562",,"1,814",102,102,735,735,"1,911",,"10,847","10,847","4,022","4,022",,__,875,"5,950"
Prince Edward,Prince Edward,,"7,131",,"1,830",,-_,"1,103","1,103","4,198",,"21,691","21,691","4,727","4,727",,__,"4,869","12,095"
Prince George,Prince George,,"7,357",,"6,486",,__,298,298,573,,"21,741","21,741","18,607","18,607",,__,"1,218","1,916"
Prince,William,,"4,230",,"1,048",,58,565,565,"2,559",,"15,891","15,891","3,943","3,943",,-_,"1,782","10,166"
Pulaski,,,_-,,- -,,- -,-_,-_,-_,,,-_,,__,,__,__,-_
Rappahannock,Rappahannock,,"1,679",,933,,__,__,__,746,,"6,713","6,713","3,320","3,320",,__,__,"3,393"
Richmond,,,"3,747",,"2,107",,_-,727,727,913,,"13,063","13,063","7,641","7,641",,_-,"2,848","2,574"
Roanoke,,,"2,017",,__,,_-,310,310,"1,707",,"4,997","4,997",,__,,__,"1,406","3,591"
Rockbridge,Rockbridge,,"5,625",,"1,563",,_-,710,710,"3,352",,"21,083","21,083","3,849","3,849",,__,"2,695","14,539"
Rockingham,Rockingham,,"3,216",,- -,539,539,272,272,"2,405",,"13,572","13,572",,-_,"3,084","3,084","1,208","9,280"
Russell,,,"3,385",,__,219,219,368,368,"2,798",,"14,344","14,344",,__,"1,331","1,331","1,067","11,946"
Scott,,,"3,150",,__,,__,"2,043",,"1,107",,"10,008","10,008",,__,,-_,"7,795","2,213"
Shenandoah,Shenandoah,,101,,__,-_,-_,__,,101,,,305,,__,__,__,-_,305
Smyth,,,"4,517",,"2,558",__,__,507,,"1,452",,"12,794","12,794","8,848","8,848",__,__,512,"3,434"
Southampton,Southampton,"21,613","21,613",,"8,221",85,85,"6,451",,"6,856",,"77,199","77,199","32,633","32,633",__,__,"20,452","24,114"
Spotsylvania,Spotsylvania,"10,194","10,194",,"6,835",-_,-_,"1,885",,"1,474",,"23,928","23,928","17,537","17,537",- -,- -,"4,569","1,822"
Stafford,,,"3,262",,"2,729",- -,- -,397,,136,,"7,915","7,915","5,395","5,395",__,__,"1,973",547
Suffolk,,,"6,938",,"1,783",_-,_-,"4,027",,"1,128",,"28,349","28,349","7,574","7,574",- -,- -,"17,672","3,103"
Surry,,,"9,134",,"3,440",_-,_-,"1,201",,"4,493",,"38,034","38,034","16,328","16,328",__,__,"5,659","16,047"
Sussex,,"19,464","19,464",,"11,846",_-,_-,"3,556",,"4,062",,"62,777","62,777","43,389","43,389",__,__,"10,457","8,931"
Tazewell,,,"5,454",,_-,49,49,"2,289",,"3,116",,"24,528","24,528",,__,,--,"11,056","13,472"
Virginia,Beach,,"3,174",,603,-_,-_,"2,097",,474,,"11,527","11,527","3,499","3,499",__,__,"6,928","1,100"
Warren,,,"3,178",,527,__,__,387,,"2,264",,"9,206","9,206","1,498","1,498",_-,_-,"1,838","5,870"
Washington,Washington,,"2,822",,"1,011",325,325,158,158,"1,328",,"12,955","12,955","5,141","5,141","1,801","1,801",646,"5,367"
Westmoreland,Westmoreland,,"3,773",,698,_-,_-,"1,159",,"1,916",,"15,500","15,500","2,578","2,578",__,__,"5,468","7,454"
Wise,,"11,459","11,459",,_-,__,__,"5,204",,"6,255",,"42,951","42,951",,__,__,__,"15,045","27,906"
Wythe,,,"1,694",,135,-_,-_,49,,"1,510",,"6,095","6,095",,760,__,__,__,"5,335"
York,,,49,,-,__,__,-_,,49,,,_-,,__,-_,-_,_-,-_
Total,,"599,062","599,062","230,187","230,187","22,673","22,673","139,977",,"206,225",,"2,019,344","2,019,344","734,348","734,348","108,164","108,164","481,697","695,135"
